Task_Name,Task_Desc,Date_Time,File_Name,Log_Message,Action_Taken
AWS Connection,"Session, Resource, Client connections",2021-03-31 16:31:11.450217,,Started,
AWS Connection,Session Connection,2021-03-31 16:31:11.496220,,Session connection Successful,
AWS Connection,Resource Connection,2021-03-31 16:31:11.938245,,Resource connection Successful,
AWS Connection,Client Connection,2021-03-31 16:31:11.951246,,Client connection Successful,
Download,Downloading From: Predicting/RawFiles/ To: Temp_Files/Predicting/RawFiles/,2021-03-31 16:31:11.951246,,Started,
Download,Access Files from Bucket: faultdetectioninwafer,2021-03-31 16:31:13.786351,,19 files are available,Downloading Files
Download,Downloading File,2021-03-31 16:31:16.261492,Predicting/RawFiles/Wafer_13012020_141000.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 16:31:18.049595,Predicting/RawFiles/Wafer_14012020_113045.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 16:31:19.284665,Predicting/RawFiles/Wafer_15010_130532.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 16:31:20.870756,Predicting/RawFiles/wafer_07012020_041011.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 16:31:23.061881,Predicting/RawFiles/wafer_13012020_090817.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 16:31:25.059996,Predicting/RawFiles/wafer_16012020_051629.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 16:31:26.986106,Predicting/RawFiles/wafer_20012020_090819.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 16:31:27.961162,Predicting/RawFiles/wafer_20022020_090716.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 16:31:29.621257,Predicting/RawFiles/wafer_21012020_080913.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 16:31:31.300353,Predicting/RawFiles/wafer_22022020_041119.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 16:31:32.828440,Predicting/RawFiles/wafer_23012020_011008.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 16:31:34.417531,Predicting/RawFiles/wafer_23012020_041211.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 16:31:36.437646,Predicting/RawFiles/wafer_27012020_080911.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 16:31:39.089798,Predicting/RawFiles/wafer_28012020_051011.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 16:31:41.040910,Predicting/RawFiles/wafer_28012020_090817.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 16:31:42.769009,Predicting/RawFiles/wafer_28042020_031911.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 16:31:44.698119,Predicting/RawFiles/wafer_29012020_050617.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 16:31:46.415217,Predicting/RawFiles/wafer_29012020_060756.csv,Downloaded Successfully,
