Task_Name,Task_Desc,Date_Time,File_Name,Log_Message,Action_Taken
Local Folder Creation,Creating Folders in Local,2021-03-31 16:30:55.358297,,Started,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/RawFiles/,2021-03-31 16:30:55.358297,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-03-31 16:30:55.358297,,Temp_Files is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/RawFiles/,2021-03-31 16:30:55.358297,,Completed,
Local Folder Creation,Creating folder: Predicting,2021-03-31 16:30:55.359297,,Predicting is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/RawFiles/,2021-03-31 16:30:55.360297,,Completed,
Local Folder Creation,Creating folder: RawFiles,2021-03-31 16:30:55.383298,,RawFiles is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/RawFiles/,2021-03-31 16:30:55.383298,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/GoodFiles/,2021-03-31 16:30:55.383298,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-03-31 16:30:55.383298,,Temp_Files is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/GoodFiles/,2021-03-31 16:30:55.383298,,Completed,
Local Folder Creation,Creating folder: Predicting,2021-03-31 16:30:55.383298,,Predicting is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/GoodFiles/,2021-03-31 16:30:55.383298,,Completed,
Local Folder Creation,Creating folder: GoodFiles,2021-03-31 16:30:55.384298,,GoodFiles is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/GoodFiles/,2021-03-31 16:30:55.384298,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/BadFiles/,2021-03-31 16:30:55.384298,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-03-31 16:30:55.384298,,Temp_Files is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/BadFiles/,2021-03-31 16:30:55.384298,,Completed,
Local Folder Creation,Creating folder: Predicting,2021-03-31 16:30:55.384298,,Predicting is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/BadFiles/,2021-03-31 16:30:55.384298,,Completed,
Local Folder Creation,Creating folder: BadFiles,2021-03-31 16:30:55.384298,,BadFiles is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/BadFiles/,2021-03-31 16:30:55.384298,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/TransformedFiles/,2021-03-31 16:30:55.385298,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-03-31 16:30:55.385298,,Temp_Files is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/TransformedFiles/,2021-03-31 16:30:55.385298,,Completed,
