Task_Name,Task_Desc,Date_Time,File_Name,Log_Message,Action_Taken
Merge,Merging all Transformed Files into Single File,2021-03-31 16:35:52.742306,,Started,
Merge,Loading Schema File,2021-03-31 16:35:52.748307,schema_prediction.json,Successfully loaded,
Merge,Loading Transformed Files,2021-03-31 16:35:52.892315,,9 are loaded successfully,
Merge,Merging all files,2021-03-31 16:35:52.892315,,Started,
Merge,Merging all files,2021-03-31 16:35:54.329397,,Completed,
Merge,Storing file,2021-03-31 16:35:55.881486,SingleFile.csv,Stored successfully into SingleFile folder,
Merge,Merging all Transformed Files into Single File,2021-03-31 16:35:55.881486,,Completed,
Merge,Merging all Transformed Files into Single File,2021-03-31 18:27:12.117345,,Started,
Merge,Loading Schema File,2021-03-31 18:27:12.120345,schema_prediction.json,Successfully loaded,
Merge,Loading Transformed Files,2021-03-31 18:27:12.374359,,9 are loaded successfully,
Merge,Merging all files,2021-03-31 18:27:12.374359,,Started,
Merge,Merging all files,2021-03-31 18:27:16.524597,,Completed,
Merge,Storing file,2021-03-31 18:27:20.320814,SingleFile.csv,Stored successfully into SingleFile folder,
Merge,Merging all Transformed Files into Single File,2021-03-31 18:27:20.320814,,Completed,
