Task_Name,Task_Desc,Date_Time,File_Name,Log_Message,Action_Taken
AWS Connection,"Session, Resource, Client connections",2021-03-31 15:33:42.711961,,Started,
AWS Connection,Session Connection,2021-03-31 15:33:42.856969,,Session connection Successful,
AWS Connection,Resource Connection,2021-03-31 15:33:45.094097,,Resource connection Successful,
AWS Connection,Client Connection,2021-03-31 15:33:48.383285,,Client connection Successful,
Download,Downloading From: Training/RawFiles/ To: Temp_Files/Training/RawFiles/,2021-03-31 15:33:48.400286,,Started,
Download,Access Files from Bucket: faultdetectioninwafer,2021-03-31 15:33:50.449403,,41 files are available,Downloading Files
Download,Downloading File,2021-03-31 15:33:53.011550,Training/RawFiles/Wafer12_20012.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:33:53.869599,Training/RawFiles/Wafer_07012020_000000.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:33:54.759650,Training/RawFiles/Wafer_07012020_223345.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:33:55.582697,Training/RawFiles/Wafer_08012020_120000.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:33:56.460747,Training/RawFiles/Wafer_10012020_131534.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:33:57.262793,Training/RawFiles/Wafer_11012020_151432.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:33:58.098841,Training/RawFiles/Wafer_12012020_111.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:33:58.963890,Training/RawFiles/Wafer_12012020_111213.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:33:59.807939,Training/RawFiles/Wafer_13012020_141000.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:00.594984,Training/RawFiles/Wafer_14012020_113045.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:01.440032,Training/RawFiles/Wafer_15010_130532.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:02.228077,Training/RawFiles/Wafer_15012020_130532.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:03.020122,Training/RawFiles/Wafer_18012020_121532.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:03.849170,Training/RawFiles/Wafer_19012020_141432.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:04.647215,Training/RawFiles/Wafer_20012020_135132.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:05.453261,Training/RawFiles/Wafer_21012020_143634.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:06.020294,Training/RawFiles/Wafer_22012020_173245.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:06.848341,Training/RawFiles/Wafer_23012020_163456.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:07.628386,Training/RawFiles/Wafer_24012020_150121.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:08.468434,Training/RawFiles/Wafer_25012020_142112.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:09.306482,Training/RawFiles/Wafer_fault_detection.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:10.128529,Training/RawFiles/Wafer_text_130532.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:10.932575,Training/RawFiles/Waferdefault_15010_130532.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:12.236649,Training/RawFiles/wafer_07012020_041011.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:13.067697,Training/RawFiles/wafer_13012020_090817.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:13.900745,Training/RawFiles/wafer_16012020_051629.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:14.693790,Training/RawFiles/wafer_16012020_134553.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:15.566840,Training/RawFiles/wafer_17012020_125434.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:16.359885,Training/RawFiles/wafer_20012020_090819.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:16.926918,Training/RawFiles/wafer_20022020_090716.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:17.704962,Training/RawFiles/wafer_21012020_080913.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:18.512008,Training/RawFiles/wafer_22022020_041119.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:19.379058,Training/RawFiles/wafer_23012020_011008.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:20.220106,Training/RawFiles/wafer_23012020_041211.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:21.009151,Training/RawFiles/wafer_27012020_080911.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:21.819198,Training/RawFiles/wafer_28012020_051011.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:22.642245,Training/RawFiles/wafer_28012020_090817.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:23.432290,Training/RawFiles/wafer_28042020_031911.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:24.231335,Training/RawFiles/wafer_29012020_050617.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:25.044382,Training/RawFiles/wafer_29012020_060756.csv,Downloaded Successfully,
Download,Downloading File,2021-03-31 15:34:25.849428,Training/RawFiles/wafer_31012020_090811.csv,Downloaded Successfully,
Download,Downloading From: Training/RawFiles/ To: Temp_Files/Training/RawFiles/,2021-03-31 15:34:25.849428,,Completed,41 files are downloaded successfully
Download,Downloading From: Training/SchemaFile/ To: Temp_Files/Training/SchemaFile/,2021-03-31 15:34:27.558526,,Started,
Download,Access Files from Bucket: faultdetectioninwafer,2021-03-31 15:34:29.323627,,1 files are available,Downloading Files
Download,Downloading File,2021-03-31 15:34:30.848714,Training/SchemaFile/schema_training.json,Downloaded Successfully,
Download,Downloading From: Training/SchemaFile/ To: Temp_Files/Training/SchemaFile/,2021-03-31 15:34:30.848714,,Completed,1 files are downloaded successfully
AWS Connection,"Session, Resource, Client connections",2021-03-31 16:29:46.270345,,Started,
AWS Connection,Session Connection,2021-03-31 16:29:46.316348,,Session connection Successful,
AWS Connection,Resource Connection,2021-03-31 16:29:46.765374,,Resource connection Successful,
AWS Connection,Client Connection,2021-03-31 16:29:46.777374,,Client connection Successful,
Upload,"Uploading From: {'RawFiles': 'Temp_Files/Training/RawFiles/', 'GoodFiles': 'Temp_Files/Training/GoodFiles/', 'BadFiles': 'Temp_Files/Training/BadFiles/', 'TransformedFiles': 'Temp_Files/Training/TransformedFiles/', 'SingleFile': 'Temp_Files/Training/SingleFile/', 'SchemaFile': 'Temp_Files/Training/SchemaFile/', 'LogFiles': 'Temp_Files/Training/LogFiles/', 'Clusters': 'Temp_Files/Training/Models/Clusters/', 'BestModels': 'Temp_Files/Training/Models/BestModels/'} To: {'RawFiles': 'Training/RawFiles/', 'GoodFiles': 'Training/GoodFiles/', 'BadFiles': 'Training/BadFiles/', 'TransformedFiles': 'Training/TransformedFiles/', 'SingleFile': 'Training/SingleFile/', 'SchemaFile': 'Training/SchemaFile/', 'LogFiles': 'Training/LogFiles/', 'Clusters': 'Training/Clusters/', 'BestModels': 'Training/BestModels/'}",2021-03-31 16:29:46.785375,,Started,
Upload,Uploading Failed,2021-03-31 16:29:46.785375,,"Error: listdir: path should be string, bytes, os.PathLike or None, not dict",Check Error in Function: 'Upload_AllFiles_from_Local_to_AWS()'
AWS Connection,"Session, Resource, Client connections",2021-03-31 16:38:42.923040,,Started,
AWS Connection,Session Connection,2021-03-31 16:38:42.972043,,Session connection Successful,
AWS Connection,Resource Connection,2021-03-31 16:38:43.438069,,Resource connection Successful,
AWS Connection,Client Connection,2021-03-31 16:38:43.453070,,Client connection Successful,
