Task_Name,Task_Desc,Date_Time,File_Name,Log_Message,Action_Taken
Local Folder Creation,Removing Folder in Local,2021-03-31 14:47:28.985313,,Started,
Local Folder Creation,Removing Folder in Local,2021-03-31 14:47:28.985313,,'Temp_Files' is not available,
Local Folder Creation,Removing Folder in Local,2021-03-31 14:47:28.985313,,Completed,
Local Folder Creation,Creating Folders in Local,2021-03-31 14:47:28.986313,,Started,
Local Folder Creation,Creating folder structure: Temp_Files/Training/RawFiles/,2021-03-31 14:47:28.986313,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-03-31 14:47:28.991313,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/RawFiles/,2021-03-31 14:47:28.991313,,Completed,
Local Folder Creation,Creating folder: Training,2021-03-31 14:47:29.088319,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/RawFiles/,2021-03-31 14:47:29.088319,,Completed,
Local Folder Creation,Creating folder: RawFiles,2021-03-31 14:47:29.088319,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/RawFiles/,2021-03-31 14:47:29.089319,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Training/GoodFiles/,2021-03-31 14:47:29.089319,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-03-31 14:47:29.089319,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/GoodFiles/,2021-03-31 14:47:29.089319,,Completed,
Local Folder Creation,Creating folder: Training,2021-03-31 14:47:29.089319,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/GoodFiles/,2021-03-31 14:47:29.089319,,Completed,
Local Folder Creation,Creating folder: GoodFiles,2021-03-31 14:47:29.089319,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/GoodFiles/,2021-03-31 14:47:29.090319,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Training/BadFiles/,2021-03-31 14:47:29.090319,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-03-31 14:47:29.090319,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/BadFiles/,2021-03-31 14:47:29.090319,,Completed,
Local Folder Creation,Creating folder: Training,2021-03-31 14:47:29.090319,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/BadFiles/,2021-03-31 14:47:29.090319,,Completed,
Local Folder Creation,Creating folder: BadFiles,2021-03-31 14:47:29.090319,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/BadFiles/,2021-03-31 14:47:29.090319,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Training/TransformedFiles/,2021-03-31 14:47:29.091319,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-03-31 14:47:29.091319,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/TransformedFiles/,2021-03-31 14:47:29.092319,,Completed,
Local Folder Creation,Creating folder: Training,2021-03-31 14:47:29.092319,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/TransformedFiles/,2021-03-31 14:47:29.092319,,Completed,
Local Folder Creation,Creating folder: TransformedFiles,2021-03-31 14:47:29.232327,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/TransformedFiles/,2021-03-31 14:47:29.232327,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Training/SingleFile/,2021-03-31 14:47:29.232327,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-03-31 14:47:29.232327,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/SingleFile/,2021-03-31 14:47:29.232327,,Completed,
Local Folder Creation,Creating folder: Training,2021-03-31 14:47:29.232327,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/SingleFile/,2021-03-31 14:47:29.232327,,Completed,
Local Folder Creation,Creating folder: SingleFile,2021-03-31 14:47:29.283330,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/SingleFile/,2021-03-31 14:47:29.284330,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Training/SchemaFile/,2021-03-31 14:47:29.284330,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-03-31 14:47:29.284330,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/SchemaFile/,2021-03-31 14:47:29.284330,,Completed,
Local Folder Creation,Creating folder: Training,2021-03-31 14:47:29.284330,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/SchemaFile/,2021-03-31 14:47:29.284330,,Completed,
Local Folder Creation,Creating folder: SchemaFile,2021-03-31 14:47:29.285330,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/SchemaFile/,2021-03-31 14:47:29.285330,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Training/LogFiles/,2021-03-31 14:47:29.285330,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-03-31 14:47:29.285330,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/LogFiles/,2021-03-31 14:47:29.285330,,Completed,
Local Folder Creation,Creating folder: Training,2021-03-31 14:47:29.286330,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/LogFiles/,2021-03-31 14:47:29.286330,,Completed,
Local Folder Creation,Creating folder: LogFiles,2021-03-31 14:47:29.286330,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/LogFiles/,2021-03-31 14:47:29.287330,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/Clusters/,2021-03-31 14:47:29.287330,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-03-31 14:47:29.287330,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/Clusters/,2021-03-31 14:47:29.287330,,Completed,
Local Folder Creation,Creating folder: Training,2021-03-31 14:47:29.287330,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/Clusters/,2021-03-31 14:47:29.287330,,Completed,
Local Folder Creation,Creating folder: Models,2021-03-31 14:47:29.306331,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/Clusters/,2021-03-31 14:47:29.307331,,Completed,
Local Folder Creation,Creating folder: Clusters,2021-03-31 14:47:29.307331,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/Clusters/,2021-03-31 14:47:29.307331,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/BestModels/,2021-03-31 14:47:29.308331,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-03-31 14:47:29.308331,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/BestModels/,2021-03-31 14:47:29.308331,,Completed,
Local Folder Creation,Creating folder: Training,2021-03-31 14:47:29.308331,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/BestModels/,2021-03-31 14:47:29.308331,,Completed,
Local Folder Creation,Creating folder: Models,2021-03-31 14:47:29.308331,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/BestModels/,2021-03-31 14:47:29.308331,,Completed,
Local Folder Creation,Creating folder: BestModels,2021-03-31 14:47:29.309331,,Success,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/BestModels/,2021-03-31 14:47:29.309331,,Completed,
Local Folder Creation,Creating Folders in Local,2021-03-31 14:47:29.309331,,Completed,
