Task_Name,Task_Desc,Date_Time,File_Name,Log_Message,Action_Taken
Training Model,Model training,2021-03-31 16:15:02.384790,,Started,
Training Model,Loading scaled data,2021-03-31 16:15:02.976824,SingleScaled_File.csv,Loaded,
Training Model,k-means Cluster,2021-03-31 16:15:02.977824,,Started,
Training Model,k-means Cluster,2021-03-31 16:15:31.124434,,Save cluster fig path: Temp_Files/Training/Models/Clusters/K-Means_Elbow.PNG,
Training Model,k-means Cluster,2021-03-31 16:15:31.126434,,Number of clusters: 5,
Training Model,k-means Cluster,2021-03-31 16:15:33.567573,,Applying k-means cluster on Predictors data,
Training Model,k-means Cluster,2021-03-31 16:15:33.595575,,Completed,Storing k-means cluster path: Temp_Files/Training/Models/Clusters/KMeans_Cluster.sav
Training Model,Best Model Finding,2021-03-31 16:15:33.595575,,Started,
Training Model,Best Model Finding,2021-03-31 16:15:33.693581,,Extracting data of cluster-2,
Training Model,Best Model Finding,2021-03-31 16:15:33.737583,,Train_Test_Split of cluster-2,
Training Model,XGB model training,2021-03-31 16:15:33.737583,,Started,
Training Model,XGB model training - Best params,2021-03-31 16:18:12.839683,,"LearningRate:0.1, max_depth:3, n_estimators:50",
Training Model,XGB model training,2021-03-31 16:18:13.003693,,Model is trained for cluster-2,
Training Model,XGB model training,2021-03-31 16:18:13.075697,,XGB Score for cluster-2: 0.6538461538461537,
Training Model,XGB model training,2021-03-31 16:18:13.075697,,Comleted,
Training Model,RFC model training,2021-03-31 16:18:13.075697,,Started,
Training Model,RFC model training - Best params,2021-03-31 16:18:45.586556,,"criterion:gini, max_depth:2, max_features:auto, n_estimators:10",
Training Model,RFC model training,2021-03-31 16:18:45.621558,,Model is trained for cluster-2,
Training Model,RFC model training,2021-03-31 16:18:45.621558,,Comleted,
Training Model,RFC model training,2021-03-31 16:18:45.624558,,RFC Score for cluster-2: 0.5,
Training Model,Best Model Finding,2021-03-31 16:18:45.624558,,"Best Model for cluster-2 -> XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bynode=1, colsample_bytree=1, gamma=0, gpu_id=-1,
       importance_type='gain', interaction_constraints='',
       learning_rate=0.1, max_delta_step=0, max_depth=3,
       min_child_weight=1, missing=nan, monotone_constraints='()',
       n_estimators=50, n_jobs=0, num_parallel_tree=1,
       objective='binary:logistic', random_state=0, reg_alpha=0,
       reg_lambda=1, scale_pos_weight=1, subsample=1, tree_method='exact',
       validate_parameters=1, verbosity=None)",
Training Model,Best Model Finding,2021-03-31 16:18:45.648560,,"Storing XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bynode=1, colsample_bytree=1, gamma=0, gpu_id=-1,
       importance_type='gain', interaction_constraints='',
       learning_rate=0.1, max_delta_step=0, max_depth=3,
       min_child_weight=1, missing=nan, monotone_constraints='()',
       n_estimators=50, n_jobs=0, num_parallel_tree=1,
       objective='binary:logistic', random_state=0, reg_alpha=0,
       reg_lambda=1, scale_pos_weight=1, subsample=1, tree_method='exact',
       validate_parameters=1, verbosity=None) model at: Temp_Files/Training/Models/BestModels/Model_for_Cluster_XGB2.sav",
Training Model,Best Model Finding,2021-03-31 16:18:45.656560,,Extracting data of cluster-3,
Training Model,Best Model Finding,2021-03-31 16:18:45.693562,,Train_Test_Split of cluster-3,
Training Model,XGB model training,2021-03-31 16:18:45.693562,,Started,
Training Model,XGB model training - Best params,2021-03-31 16:20:01.486898,,"LearningRate:0.5, max_depth:3, n_estimators:10",
Training Model,XGB model training,2021-03-31 16:20:01.538901,,Model is trained for cluster-3,
Training Model,XGB model training,2021-03-31 16:20:01.540901,,XGB Score for cluster-3: 0.5,
Training Model,XGB model training,2021-03-31 16:20:01.540901,,Comleted,
Training Model,RFC model training,2021-03-31 16:20:01.540901,,Started,
Training Model,RFC model training - Best params,2021-03-31 16:20:19.415923,,"criterion:gini, max_depth:2, max_features:auto, n_estimators:10",
Training Model,RFC model training,2021-03-31 16:20:19.481927,,Model is trained for cluster-3,
Training Model,RFC model training,2021-03-31 16:20:19.481927,,Comleted,
Training Model,RFC model training,2021-03-31 16:20:19.484927,,RFC Score for cluster-3: 0.5,
