Task_Name,Task_Desc,Date_Time,File_Name,Log_Message,Action_Taken
Transform,Transforming files of GoodFiles,2021-03-31 15:51:06.046636,,Started,
Transform,Loading Schema File,2021-03-31 15:51:06.067637,schema_training.json,Successfully loaded,
Transform,Loading Good files,2021-03-31 15:51:06.434658,,9 are loaded successfully,
Transform,Rename of column,2021-03-31 15:51:06.860683,wafer_13012020_090817.csv,if any 'Unnamed: 0' -> 'Wafer',
Transform,Missing values,2021-03-31 15:51:06.870683,wafer_13012020_090817.csv,Missing values of columns for wafer_13012020_090817.csv are stored,
Transform,Data type conversion,2021-03-31 15:51:06.883684,wafer_13012020_090817.csv,Data type of column : wafer_13012020_090817.csv->Sensor-6,Convert to 'float64'
Transform,Imputing missing values,2021-03-31 15:51:06.909685,wafer_13012020_090817.csv,Missing values in wafer_13012020_090817.csv->Sensor-8 : 0,Imputed with Mean
Transform,Data type conversion,2021-03-31 15:51:06.926686,wafer_13012020_090817.csv,Data type of column : wafer_13012020_090817.csv->Sensor-14,Convert to 'float64'
Transform,Imputing missing values,2021-03-31 15:51:06.981690,wafer_13012020_090817.csv,Missing values in wafer_13012020_090817.csv->Sensor-41 : 0,Imputed with Mean
Transform,Imputing missing values,2021-03-31 15:51:06.987690,wafer_13012020_090817.csv,Missing values in wafer_13012020_090817.csv->Sensor-42 : 0,Imputed with Mean
Transform,Data type conversion,2021-03-31 15:51:06.997690,wafer_13012020_090817.csv,Data type of column : wafer_13012020_090817.csv->Sensor-43,Convert to 'float64'
Transform,Data type conversion,2021-03-31 15:51:07.008691,wafer_13012020_090817.csv,Data type of column : wafer_13012020_090817.csv->Sensor-50,Convert to 'float64'
Transform,Data type conversion,2021-03-31 15:51:07.013691,wafer_13012020_090817.csv,Data type of column : wafer_13012020_090817.csv->Sensor-53,Convert to 'float64'
Transform,Data type conversion,2021-03-31 15:51:07.019692,wafer_13012020_090817.csv,Data type of column : wafer_13012020_090817.csv->Sensor-56,Convert to 'float64'
Transform,Imputing missing values,2021-03-31 15:51:07.025692,wafer_13012020_090817.csv,Missing values in wafer_13012020_090817.csv->Sensor-60 : 0,Imputed with Mean
Transform,Imputing missing values,2021-03-31 15:51:07.029692,wafer_13012020_090817.csv,Missing values in wafer_13012020_090817.csv->Sensor-61 : 0,Imputed with Mean
Transform,Imputing missing values,2021-03-31 15:51:07.033692,wafer_13012020_090817.csv,Missing values in wafer_13012020_090817.csv->Sensor-62 : 0,Imputed with Mean
Transform,Imputing missing values,2021-03-31 15:51:07.040693,wafer_13012020_090817.csv,Missing values in wafer_13012020_090817.csv->Sensor-63 : 0,Imputed with Mean
Transform,Imputing missing values,2021-03-31 15:51:07.049693,wafer_13012020_090817.csv,Missing values in wafer_13012020_090817.csv->Sensor-64 : 0,Imputed with Mean
Transform,Imputing missing values,2021-03-31 15:51:07.058694,wafer_13012020_090817.csv,Missing values in wafer_13012020_090817.csv->Sensor-65 : 0,Imputed with Mean
Transform,Imputing missing values,2021-03-31 15:51:07.063694,wafer_13012020_090817.csv,Missing values in wafer_13012020_090817.csv->Sensor-66 : 0,Imputed with Mean
Transform,Imputing missing values,2021-03-31 15:51:07.067694,wafer_13012020_090817.csv,Missing values in wafer_13012020_090817.csv->Sensor-67 : 0,Imputed with Mean
Transform,Imputing missing values,2021-03-31 15:51:07.070695,wafer_13012020_090817.csv,Missing values in wafer_13012020_090817.csv->Sensor-68 : 0,Imputed with Mean
